new_cluster_id,coordinates
63,"[[[-179.9997, -38.308], [-179.9997, -13.5682], [-171.083, -13.5682], [-171.083, -38.308], [-179.9997, -38.308]]]"
64,"[[[99.1467, -6.6588], [99.1467, -1.1199], [104.2108, -1.1199], [104.2108, -6.6588], [99.1467, -6.6588]]]"
65,"[[[-152.1972, 62.649], [-152.1972, 68.7969], [-144.533, 68.7969], [-144.533, 62.649], [-152.1972, 62.649]]]"
66,"[[[90.1767, 22.4139], [90.1767, 27.293], [96.154, 27.293], [96.154, 22.4139], [90.1767, 22.4139]]]"
67,"[[[90.5829, 8.3607], [90.5829, 12.5428], [95.7845, 12.5428], [95.7845, 8.3607], [90.5829, 8.3607]]]"
68,"[[[-81.6163, -13.4785], [-81.6163, -7.2463], [-76.1158, -7.2463], [-76.1158, -13.4785], [-81.6163, -13.4785]]]"
69,"[[[79.491, 27.8305], [79.491, 35.0886], [84.2884, 35.0886], [84.2884, 27.8305], [79.491, 27.8305]]]"
70,"[[[-175.6727, 49.4499], [-175.6727, 54.5113], [-169.7654, 54.5113], [-169.7654, 49.4499], [-175.6727, 49.4499]]]"
71,"[[[-155.0368, 57.4654], [-155.0368, 63.5872], [-149.6214, 63.5872], [-149.6214, 57.4654], [-155.0368, 57.4654]]]"
72,"[[[142.9325, -8.5955], [142.9325, -0.12], [149.4042, -0.12], [149.4042, -8.5955], [142.9325, -8.5955]]]"
73,"[[[-148.9869, 64.6038], [-148.9869, 70.8305], [-141.0874, 70.8305], [-141.0874, 64.6038], [-148.9869, 64.6038]]]"
74,"[[[-113.9623333, 36.6213], [-113.9623333, 42.7306667], [-107.5332, 42.7306667], [-107.5332, 36.6213], [-113.9623333, 36.6213]]]"
75,"[[[174.5898, -22.4293], [174.5898, -17.1844], [179.9909, -17.1844], [179.9909, -22.4293], [174.5898, -22.4293]]]"
76,"[[[-114.3118, 25.3643], [-114.3118, 33.2932], [-108.6397, 33.2932], [-108.6397, 25.3643], [-114.3118, 25.3643]]]"
77,"[[[-84.8845, 39.2711667], [-84.8845, 45.1124], [-77.8474, 45.1124], [-77.8474, 39.2711667], [-84.8845, 39.2711667]]]"
78,"[[[-83.6611, -1.253], [-83.6611, 3.8914], [-77.1692, 3.8914], [-77.1692, -1.253], [-83.6611, -1.253]]]"
79,"[[[157.3774, -12.108], [157.3774, -6.9478], [163.346, -6.9478], [163.346, -12.108], [157.3774, -12.108]]]"
80,"[[[-165.0144, 60.5358], [-165.0144, 68.2241], [-160.1966, 68.2241], [-160.1966, 60.5358], [-165.0144, 60.5358]]]"
81,"[[[149.2658, -7.2106], [149.2658, -0.2599], [154.1561, -0.2599], [154.1561, -7.2106], [149.2658, -7.2106]]]"
82,"[[[-94.2005, 12.5565], [-94.2005, 17.3969], [-89.891, 17.3969], [-89.891, 12.5565], [-94.2005, 12.5565]]]"
83,"[[[65.3793, 33.9671], [65.3793, 39.1174], [70.2753, 39.1174], [70.2753, 33.9671], [65.3793, 33.9671]]]"
84,"[[[12.2019, 32.9143], [12.2019, 40.9317], [17.9912, 40.9317], [17.9912, 32.9143], [12.2019, 32.9143]]]"
85,"[[[165.4048, -17.4172], [165.4048, -12.7142], [169.4304, -12.7142], [169.4304, -17.4172], [165.4048, -17.4172]]]"
